,vidid,title_text,title_length,tmb_text,tmb_length,composite_sentiment
0,eQ_8F4nzyiw,Building a PC... using only Wish.com,36,wish,4,0.5
1,lEaPQ7YrWQg,The Absolute Fastest Gaming Computer - Splave PC,48,nan,0,0.0
2,J1z4XqEkSEU,You Don't Need a Graphics Card! - Cloud gaming,46,no GPU,6,-0.0315
3,HREquvjw0eA,My first phone was CRAZY!,25,nan,0,0.0
4,GZEoss4XIgc,Can your Keyboard do THIS?? - Make ANY key a MACRO!,51,nan,0,0.2885
5,1dhGKw7ph3s,"I'm A Short King - WAN Show January 20, 2023",44,PAIN WHEEL OF,13,-0.1525
6,qDLQ7FjPMf8,Video Card Thermal Compound Upgrade - Secret to Better GPU Performance?,71,GPU THERMAL PASTE UPGRADE,25,0.2065
7,cxW75UljJ48,This Mac Studio upgrade is super easy! #SHORTS,46,Upgrading The MAC STUDIO,24,0.271
8,_FqH1rqQrQg,"I Want To Be A Console Gamer - WAN Show February 24, 2023",57,PLAYSTATION is KING,19,0.0
9,AwmJHcx2iHg,"Sony PlayStation - by Alienware - WAN Show June 12, 2020",56,BEAUTIFUL PS5 e,15,0.398
10,uechD2E7f68,"HANDS ON AMD RYZEN & DELL 8K MONITOR - WAN Show January 6, 2017",63,2017 JAN7 MONITOR 8K AMD RYZEN muan show our community foruml join ihustechti wwW. .com,87,0.068
11,-2O_e3pACFY,AMD Radeon R7 260X Unboxing & Review,36,RADEON 260X R7 REVIEW & UNBOXING,32,0.0
12,5k1_zP6IUsM,ASUS Rampage III Extreme Crossfire SLI Gaming Motherboard Unboxing & First Look Linus Tech Tips,95,nan,0,0.0
13,3MU-DIKvY3U,HANDS-ON the AMD Radeon R9 290X & Ultimate Fangirl Moment at #GPU14 Event Vlog Part 2,85,HANDS ON RADEON 290X R9,23,0.0
14,P-uzNGTIWCA,NVIDIA GeForce 8600 GTS SSC Retro Unboxing Linus Tech Tips,58,nan,0,0.0
15,A9Hz2HRPQ6g,Razer Edge Gaming Windows 8 Tablet with GT 640M Graphics - Linus Tech Tips CES 2013,83,nan,0,0.0
16,Gb0f_jDZQgg,Func 1030 XL Gaming Mouse Pad Unboxing & Sneak Peek,51,nan,0,0.0
17,B4cOdabDiYU,Gigabyte X79-UD5 LGA2011 SB-E SLI Motherboard Unboxing & First Look Linus Tech Tips,83,nan,0,0.0
18,CjD9-PBRlSg,Gigabyte MIB T3140 Monitor Integrated Box & H55N-USB3 Unboxing & First Look Linus Tech Tips,91,nan,0,0.0
19,ibKpofiVg4Y,Samsung CLP-310N Colour Network Laser Printer Unboxing & First Look Linus Tech Tips,83,nan,0,0.0
20,Q6vVuj3iggE,SKIN A WATERMELON party trick,29,how to SKIN WATERMELON a,24,0.1275
21,edRloa1ZHqY,1500 Water Balloons + Trampoline- SLO MO!!,42,nan,0,0.0
22,vePc5V4h_kg,Shark Attack Test- Human Blood vs. Fish Blood,45,nan,0,-0.1535
23,-k-V3ESHcfA,Feeding Bill Gates a Fake Burger (to save the world),52,FAKE REAL,9,-0.374
24,8HEfIJlcFbs,World Record Domino Robot (100k dominoes in 24hrs),50,DOMINO ROBOT,12,0.0
25,mWDLkNsWjgg,I Dropped Popcorn on Movie-Texters,34,nan,0,0.0
26,nsnyl8llfH4,1st place Egg Drop project ideas- using SCIENCE,47,EGG DROP TRICKS,15,-0.507
27,-RjJtO51ykY,EASY Pinewood Derby Car WINS using Science!!!,45,SCIENCE SECRETS,15,0.3205
28,PmlRbfSavbI,Stealing Baseball Signs with a Phone (Machine Learning),55,STEALING BASEBALL SIGNS STEAL,29,-0.5780000000000001
29,DOWDNBu9DkU,Amazing Invention- This Drone Will Change Everything,52,Zipline,7,0.194
30,9e9D7ABgHpU,Unbreakable Ice Cream Safe,26,ICE CREAM SAFI,14,0.246
31,VS6tnF31zr4,Shark vs. GoPro,15,nan,0,0.0
32,5rYhRn1x3FM,Gut Ripping iPhone Halloween Costume + 17 more hi-tech costumes,63,nan,0,0.0
33,MvnumV1izOE,Unibrow Discrimination- Social Experiment,41,SOCIAL EXPERIMENT,17,0.0
34,3yjcqsNNa24,FINAL SCIENCE CLASS- How to Survive a 5 Mile Fall with No Parachute,67,LIVE SURVIVE HOW TO A5 mile FALL with PARACHUTE NO,50,-0.213
35,ZxbGGGh5I7M,NASA Pumpkin Carving Contest w/ LASERS!!!,41,NASA'S PUMPKIN CONTEST,22,0.0
36,z68vta3N5kg,Measure height with a watch! Cliff jump science,47,SCIENCE TRICK,13,-0.2725
37,zr359AIjU2Q,SCIENCE CLASS #3- Why is the Sky Blue?,38,LIVE IS why THE SKY BLUE?,25,0.0
38,7sj6Gpk3ab4,Whiteboard Office Darts (using BuckyBalls),42,NEOEELLE,8,0.0
39,O1P6K_PaS0A,Make a Gorilla cam- HOW TO,26,nan,0,0.0
40,kxLoycj4pJY,TATTOOING Close Up (in Slow Motion) - Smarter Every Day 122,59,nan,0,0.125
41,I8yJkIuvPvM,Milking the WORLD'S MOST VENOMOUS FISH! - Smarter Every Day 117,63,nan,0,0.1595
42,ywBV6M7VOFU,Everything About Grain Bins (Farmers are Geniuses) - Smarter Every Day 218,74,nan,0,0.1155
43,X3o71W4uNHc,"Prince Rupert's Drop EXPLODING in Epoxy Resin at 456,522 fps - Smarter Every Day 273",84,nan,0,0.025999999999999995
44,flmkQZvN_g8,"What happens when 2 Weedeaters Hit Each Other? (28,000 fps SLOW MOTION)  - Smarter Every Day 255",96,nan,0,0.088
45,zz5lGkDdk78,Amazing Honey Coiling High Speed Video! - Smarter Every Day 53,62,nan,0,0.235
