,vidid,title,tmblink,views,channelName,meanVpV
0,eQ_8F4nzyiw,Building a PC... using only Wish.com,https://i.ytimg.com/vi/eQ_8F4nzyiw/hqdefault.jpg,22884803,Linus Tech Tips,1159520.27004623
1,32g1ByDRzO0,PC Smaller than an SSD,https://i.ytimg.com/vi/32g1ByDRzO0/hqdefault.jpg,3917556,Linus Tech Tips,1159520.27004623
2,QoC8R3KHk8E,My Smart Home is Stupid - HVAC Update,https://i.ytimg.com/vi/QoC8R3KHk8E/hqdefault.jpg,2919194,Linus Tech Tips,1159520.27004623
3,73E9Nb8mdjk,Don’t build a Hackintosh,https://i.ytimg.com/vi/73E9Nb8mdjk/hqdefault.jpg,2345341,Linus Tech Tips,1159520.27004623
4,bnEPBcCkM2Y,Nvidia’s New SUPER Cards! - RTX 2060 & 2070 SUPER Review,https://i.ytimg.com/vi/bnEPBcCkM2Y/hqdefault.jpg,1960646,Linus Tech Tips,1159520.27004623
5,WghfcJ_v_8M,Android 13 is here… and I like it!,https://i.ytimg.com/vi/WghfcJ_v_8M/hqdefault.jpg,1636631,Linus Tech Tips,1159520.27004623
6,x2EUZMqi77c,What's the BEST Laptop Stand on the Market?,https://i.ytimg.com/vi/x2EUZMqi77c/hqdefault.jpg,1369344,Linus Tech Tips,1159520.27004623
7,cxW75UljJ48,This Mac Studio upgrade is super easy! #SHORTS,https://i.ytimg.com/vi/cxW75UljJ48/hqdefault.jpg,1083493,Linus Tech Tips,1159520.27004623
8,gCWS4Eca9fM,Raspberry Pi 2 - A Basic Overview & Introduction,https://i.ytimg.com/vi/gCWS4Eca9fM/hqdefault.jpg,802379,Linus Tech Tips,1159520.27004623
9,AwmJHcx2iHg,"Sony PlayStation - by Alienware - WAN Show June 12, 2020",https://i.ytimg.com/vi/AwmJHcx2iHg/hqdefault.jpg,604812,Linus Tech Tips,1159520.27004623
10,uechD2E7f68,"HANDS ON AMD RYZEN & DELL 8K MONITOR - WAN Show January 6, 2017",https://i.ytimg.com/vi/uechD2E7f68/hqdefault.jpg,452532,Linus Tech Tips,1159520.27004623
11,-2O_e3pACFY,AMD Radeon R7 260X Unboxing & Review,https://i.ytimg.com/vi/-2O_e3pACFY/hqdefault.jpg,331563,Linus Tech Tips,1159520.27004623
12,5k1_zP6IUsM,ASUS Rampage III Extreme Crossfire SLI Gaming Motherboard Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/5k1_zP6IUsM/hqdefault.jpg,236649,Linus Tech Tips,1159520.27004623
13,3MU-DIKvY3U,HANDS-ON the AMD Radeon R9 290X & Ultimate Fangirl Moment at #GPU14 Event Vlog Part 2,https://i.ytimg.com/vi/3MU-DIKvY3U/hqdefault.jpg,153021,Linus Tech Tips,1159520.27004623
14,P-uzNGTIWCA,NVIDIA GeForce 8600 GTS SSC Retro Unboxing Linus Tech Tips,https://i.ytimg.com/vi/P-uzNGTIWCA/hqdefault.jpg,104851,Linus Tech Tips,1159520.27004623
15,sqWDRu-Zp2A,ASUS Maximus IV Gene-Z Gaming Motherboard Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/sqWDRu-Zp2A/hqdefault.jpg,72160,Linus Tech Tips,1159520.27004623
16,Gb0f_jDZQgg,Func 1030 XL Gaming Mouse Pad Unboxing & Sneak Peek,https://i.ytimg.com/vi/Gb0f_jDZQgg/hqdefault.jpg,51308,Linus Tech Tips,1159520.27004623
17,B4cOdabDiYU,Gigabyte X79-UD5 LGA2011 SB-E SLI Motherboard Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/B4cOdabDiYU/hqdefault.jpg,35437,Linus Tech Tips,1159520.27004623
18,CjD9-PBRlSg,Gigabyte MIB T3140 Monitor Integrated Box & H55N-USB3 Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/CjD9-PBRlSg/hqdefault.jpg,23888,Linus Tech Tips,1159520.27004623
