,vidid,title,tmblink,views,channelName,avgViews/Video
0,eQ_8F4nzyiw,Building a PC... using only Wish.com,https://i.ytimg.com/vi/eQ_8F4nzyiw/hqdefault.jpg,22879376,Linus Tech Tips,1159520.27004623
1,lEaPQ7YrWQg,The Absolute Fastest Gaming Computer - Splave PC,https://i.ytimg.com/vi/lEaPQ7YrWQg/hqdefault.jpg,3916753,Linus Tech Tips,1159520.27004623
2,J1z4XqEkSEU,You Don't Need a Graphics Card! - Cloud gaming,https://i.ytimg.com/vi/J1z4XqEkSEU/hqdefault.jpg,2919185,Linus Tech Tips,1159520.27004623
3,HREquvjw0eA,My first phone was CRAZY!,https://i.ytimg.com/vi/HREquvjw0eA/hqdefault.jpg,2345031,Linus Tech Tips,1159520.27004623
4,GZEoss4XIgc,Can your Keyboard do THIS?? - Make ANY key a MACRO!,https://i.ytimg.com/vi/GZEoss4XIgc/hqdefault.jpg,1960637,Linus Tech Tips,1159520.27004623
5,1dhGKw7ph3s,"I'm A Short King - WAN Show January 20, 2023",https://i.ytimg.com/vi/1dhGKw7ph3s/hqdefault.jpg,1635544,Linus Tech Tips,1159520.27004623
6,qDLQ7FjPMf8,Video Card Thermal Compound Upgrade - Secret to Better GPU Performance?,https://i.ytimg.com/vi/qDLQ7FjPMf8/hqdefault.jpg,1369255,Linus Tech Tips,1159520.27004623
7,cxW75UljJ48,This Mac Studio upgrade is super easy! #SHORTS,https://i.ytimg.com/vi/cxW75UljJ48/hqdefault.jpg,1083379,Linus Tech Tips,1159520.27004623
8,_FqH1rqQrQg,"I Want To Be A Console Gamer - WAN Show February 24, 2023",https://i.ytimg.com/vi/_FqH1rqQrQg/hqdefault.jpg,802469,Linus Tech Tips,1159520.27004623
9,AwmJHcx2iHg,"Sony PlayStation - by Alienware - WAN Show June 12, 2020",https://i.ytimg.com/vi/AwmJHcx2iHg/hqdefault.jpg,604810,Linus Tech Tips,1159520.27004623
10,uechD2E7f68,"HANDS ON AMD RYZEN & DELL 8K MONITOR - WAN Show January 6, 2017",https://i.ytimg.com/vi/uechD2E7f68/hqdefault.jpg,452531,Linus Tech Tips,1159520.27004623
11,-2O_e3pACFY,AMD Radeon R7 260X Unboxing & Review,https://i.ytimg.com/vi/-2O_e3pACFY/hqdefault.jpg,331550,Linus Tech Tips,1159520.27004623
12,5k1_zP6IUsM,ASUS Rampage III Extreme Crossfire SLI Gaming Motherboard Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/5k1_zP6IUsM/hqdefault.jpg,236633,Linus Tech Tips,1159520.27004623
13,3MU-DIKvY3U,HANDS-ON the AMD Radeon R9 290X & Ultimate Fangirl Moment at #GPU14 Event Vlog Part 2,https://i.ytimg.com/vi/3MU-DIKvY3U/hqdefault.jpg,153020,Linus Tech Tips,1159520.27004623
14,P-uzNGTIWCA,NVIDIA GeForce 8600 GTS SSC Retro Unboxing Linus Tech Tips,https://i.ytimg.com/vi/P-uzNGTIWCA/hqdefault.jpg,104847,Linus Tech Tips,1159520.27004623
15,A9Hz2HRPQ6g,Razer Edge Gaming Windows 8 Tablet with GT 640M Graphics - Linus Tech Tips CES 2013,https://i.ytimg.com/vi/A9Hz2HRPQ6g/hqdefault.jpg,72153,Linus Tech Tips,1159520.27004623
16,Gb0f_jDZQgg,Func 1030 XL Gaming Mouse Pad Unboxing & Sneak Peek,https://i.ytimg.com/vi/Gb0f_jDZQgg/hqdefault.jpg,51304,Linus Tech Tips,1159520.27004623
17,B4cOdabDiYU,Gigabyte X79-UD5 LGA2011 SB-E SLI Motherboard Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/B4cOdabDiYU/hqdefault.jpg,35434,Linus Tech Tips,1159520.27004623
18,CjD9-PBRlSg,Gigabyte MIB T3140 Monitor Integrated Box & H55N-USB3 Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/CjD9-PBRlSg/hqdefault.jpg,23886,Linus Tech Tips,1159520.27004623
19,ibKpofiVg4Y,Samsung CLP-310N Colour Network Laser Printer Unboxing & First Look Linus Tech Tips,https://i.ytimg.com/vi/ibKpofiVg4Y/hqdefault.jpg,2918,Linus Tech Tips,1159520.27004623
20,Q6vVuj3iggE,SKIN A WATERMELON party trick,https://i.ytimg.com/vi/Q6vVuj3iggE/hqdefault.jpg,135400762,Mark Rober,30645748.487603307
21,edRloa1ZHqY,1500 Water Balloons + Trampoline- SLO MO!!,https://i.ytimg.com/vi/edRloa1ZHqY/hqdefault.jpg,89457664,Mark Rober,30645748.487603307
22,vePc5V4h_kg,Shark Attack Test- Human Blood vs. Fish Blood,https://i.ytimg.com/vi/vePc5V4h_kg/hqdefault.jpg,75616311,Mark Rober,30645748.487603307
23,-k-V3ESHcfA,Feeding Bill Gates a Fake Burger (to save the world),https://i.ytimg.com/vi/-k-V3ESHcfA/hqdefault.jpg,57446235,Mark Rober,30645748.487603307
24,8HEfIJlcFbs,World Record Domino Robot (100k dominoes in 24hrs),https://i.ytimg.com/vi/8HEfIJlcFbs/hqdefault.jpg,49089161,Mark Rober,30645748.487603307
25,mWDLkNsWjgg,I Dropped Popcorn on Movie-Texters,https://i.ytimg.com/vi/mWDLkNsWjgg/hqdefault.jpg,42829278,Mark Rober,30645748.487603307
26,nsnyl8llfH4,1st place Egg Drop project ideas- using SCIENCE,https://i.ytimg.com/vi/nsnyl8llfH4/hqdefault.jpg,36426307,Mark Rober,30645748.487603307
27,-RjJtO51ykY,EASY Pinewood Derby Car WINS using Science!!!,https://i.ytimg.com/vi/-RjJtO51ykY/hqdefault.jpg,29796360,Mark Rober,30645748.487603307
28,PmlRbfSavbI,Stealing Baseball Signs with a Phone (Machine Learning),https://i.ytimg.com/vi/PmlRbfSavbI/hqdefault.jpg,26205260,Mark Rober,30645748.487603307
29,DOWDNBu9DkU,Amazing Invention- This Drone Will Change Everything,https://i.ytimg.com/vi/DOWDNBu9DkU/hqdefault.jpg,22655436,Mark Rober,30645748.487603307
30,9e9D7ABgHpU,Unbreakable Ice Cream Safe,https://i.ytimg.com/vi/9e9D7ABgHpU/hqdefault.jpg,20998735,Mark Rober,30645748.487603307
31,VS6tnF31zr4,Shark vs. GoPro,https://i.ytimg.com/vi/VS6tnF31zr4/hqdefault.jpg,16491547,Mark Rober,30645748.487603307
32,5rYhRn1x3FM,Gut Ripping iPhone Halloween Costume + 17 more hi-tech costumes,https://i.ytimg.com/vi/5rYhRn1x3FM/hqdefault.jpg,13481044,Mark Rober,30645748.487603307
33,MvnumV1izOE,Unibrow Discrimination- Social Experiment,https://i.ytimg.com/vi/MvnumV1izOE/hqdefault.jpg,9569953,Mark Rober,30645748.487603307
34,3yjcqsNNa24,FINAL SCIENCE CLASS- How to Survive a 5 Mile Fall with No Parachute,https://i.ytimg.com/vi/3yjcqsNNa24/hqdefault.jpg,6171459,Mark Rober,30645748.487603307
35,ZxbGGGh5I7M,NASA Pumpkin Carving Contest w/ LASERS!!!,https://i.ytimg.com/vi/ZxbGGGh5I7M/hqdefault.jpg,4789394,Mark Rober,30645748.487603307
36,z68vta3N5kg,Measure height with a watch! Cliff jump science,https://i.ytimg.com/vi/z68vta3N5kg/hqdefault.jpg,3416329,Mark Rober,30645748.487603307
37,zr359AIjU2Q,SCIENCE CLASS #3- Why is the Sky Blue?,https://i.ytimg.com/vi/zr359AIjU2Q/hqdefault.jpg,1916440,Mark Rober,30645748.487603307
38,7sj6Gpk3ab4,Whiteboard Office Darts (using BuckyBalls),https://i.ytimg.com/vi/7sj6Gpk3ab4/hqdefault.jpg,1303205,Mark Rober,30645748.487603307
39,O1P6K_PaS0A,Make a Gorilla cam- HOW TO,https://i.ytimg.com/vi/O1P6K_PaS0A/hqdefault.jpg,405556,Mark Rober,30645748.487603307
40,kxLoycj4pJY,TATTOOING Close Up (in Slow Motion) - Smarter Every Day 122,https://i.ytimg.com/vi/kxLoycj4pJY/hqdefault.jpg,86304415,SmarterEveryDay,3093197.85945946
41,I8yJkIuvPvM,Milking the WORLD'S MOST VENOMOUS FISH! - Smarter Every Day 117,https://i.ytimg.com/vi/I8yJkIuvPvM/hqdefault.jpg,12642908,SmarterEveryDay,3093197.85945946
42,ywBV6M7VOFU,Everything About Grain Bins (Farmers are Geniuses) - Smarter Every Day 218,https://i.ytimg.com/vi/ywBV6M7VOFU/hqdefault.jpg,7411976,SmarterEveryDay,3093197.85945946
43,X3o71W4uNHc,"Prince Rupert's Drop EXPLODING in Epoxy Resin at 456,522 fps - Smarter Every Day 273",https://i.ytimg.com/vi/X3o71W4uNHc/hqdefault.jpg,5584036,SmarterEveryDay,3093197.85945946
44,flmkQZvN_g8,"What happens when 2 Weedeaters Hit Each Other? (28,000 fps SLOW MOTION)  - Smarter Every Day 255",https://i.ytimg.com/vi/flmkQZvN_g8/hqdefault.jpg,4006779,SmarterEveryDay,3093197.85945946
