,length,negative,neutral,positive
0,36,0.0,1.0,0.0
1,48,0.0,1.0,0.0
2,46,0.0,1.0,0.0
3,25,0.461,0.539,0.0
4,51,0.0,1.0,0.0
5,44,0.0,1.0,0.0
6,71,0.0,0.756,0.244
7,46,0.0,0.458,0.542
8,57,0.0,0.874,0.126
9,56,0.0,1.0,0.0
10,63,0.0,1.0,0.0
11,36,0.0,1.0,0.0
12,95,0.0,1.0,0.0
13,85,0.0,1.0,0.0
14,58,0.0,1.0,0.0
15,83,0.0,0.821,0.179
16,51,0.0,1.0,0.0
17,83,0.0,1.0,0.0
18,91,0.0,1.0,0.0
19,83,0.0,1.0,0.0
20,29,0.203,0.339,0.458
21,42,0.0,1.0,0.0
22,45,0.307,0.693,0.0
23,52,0.233,0.526,0.241
24,50,0.0,1.0,0.0
25,34,0.0,1.0,0.0
26,47,0.231,0.769,0.0
27,45,0.0,0.359,0.641
28,55,0.381,0.619,0.0
29,52,0.0,0.612,0.388
30,26,0.0,0.508,0.492
31,15,0.0,1.0,0.0
32,63,0.0,1.0,0.0
33,41,0.0,1.0,0.0
34,67,0.18,0.82,0.0
35,41,0.0,1.0,0.0
36,47,0.0,1.0,0.0
37,38,0.0,1.0,0.0
38,42,0.0,1.0,0.0
39,26,0.0,1.0,0.0
40,59,0.0,0.75,0.25
41,63,0.0,0.681,0.319
42,74,0.0,0.769,0.231
43,84,0.123,0.702,0.175
44,96,0.0,0.824,0.176
45,62,0.0,0.53,0.47
46,90,0.212,0.64,0.148
47,56,0.0,0.769,0.231
48,73,0.0,0.616,0.384
49,72,0.0,0.786,0.214
50,51,0.0,0.727,0.273
51,70,0.0,0.786,0.214
52,48,0.182,0.545,0.273
53,70,0.0,0.541,0.459
54,80,0.0,1.0,0.0
55,62,0.0,0.786,0.214
56,43,0.259,0.463,0.278
57,27,0.0,1.0,0.0
58,36,0.0,1.0,0.0
59,14,0.0,1.0,0.0
60,41,0.0,1.0,0.0
61,49,0.213,0.787,0.0
62,30,0.0,1.0,0.0
63,42,0.306,0.694,0.0
64,50,0.0,1.0,0.0
65,45,0.0,1.0,0.0
66,39,0.0,1.0,0.0
67,55,0.0,1.0,0.0
68,49,0.0,1.0,0.0
69,35,0.0,1.0,0.0
70,27,0.0,1.0,0.0
71,40,0.0,1.0,0.0
72,50,0.192,0.808,0.0
73,46,0.263,0.737,0.0
74,39,0.0,1.0,0.0
75,41,0.0,1.0,0.0
76,53,0.0,1.0,0.0
77,48,0.0,1.0,0.0
78,43,0.0,1.0,0.0
79,36,0.0,1.0,0.0
80,40,0.0,0.756,0.244
81,18,0.412,0.588,0.0
82,35,0.0,1.0,0.0
83,67,0.0,1.0,0.0
84,45,0.0,0.78,0.22
85,42,0.0,1.0,0.0
86,29,0.0,1.0,0.0
87,21,0.0,1.0,0.0
88,54,0.154,0.549,0.297
89,26,0.0,1.0,0.0
90,31,0.0,1.0,0.0
91,61,0.0,1.0,0.0
92,33,0.0,1.0,0.0
93,63,0.0,0.722,0.278
94,37,0.0,1.0,0.0
95,40,0.0,0.674,0.326
96,61,0.0,1.0,0.0
97,33,0.0,1.0,0.0
98,32,0.455,0.545,0.0
99,24,0.0,1.0,0.0
100,57,0.0,0.714,0.286
101,52,0.0,1.0,0.0
102,58,0.0,0.86,0.14
103,44,0.0,1.0,0.0
104,17,0.0,1.0,0.0
105,44,0.0,1.0,0.0
106,37,0.0,1.0,0.0
107,43,0.0,1.0,0.0
108,18,0.0,1.0,0.0
109,60,0.0,1.0,0.0
110,33,0.0,1.0,0.0
111,25,0.0,0.426,0.574
112,58,0.0,1.0,0.0
113,98,0.0,0.838,0.162
114,57,0.0,1.0,0.0
115,34,0.0,1.0,0.0
116,81,0.0,0.769,0.231
117,38,0.0,1.0,0.0
118,50,0.0,1.0,0.0
119,83,0.0,1.0,0.0
120,89,0.0,0.629,0.371
121,66,0.0,1.0,0.0
122,82,0.0,1.0,0.0
123,91,0.0,1.0,0.0
124,97,0.0,0.686,0.314
125,91,0.455,0.545,0.0
126,99,0.0,0.859,0.141
127,97,0.0,1.0,0.0
128,79,0.122,0.705,0.173
129,97,0.0,1.0,0.0
130,93,0.0,1.0,0.0
131,96,0.0,0.703,0.297
132,90,0.0,0.505,0.495
133,82,0.0,1.0,0.0
134,94,0.0,1.0,0.0
135,95,0.0,0.573,0.427
136,100,0.0,1.0,0.0
137,83,0.143,0.68,0.177
138,90,0.354,0.488,0.159
139,68,0.165,0.63,0.205
140,79,0.0,1.0,0.0
141,100,0.0,1.0,0.0
142,40,0.0,0.634,0.366
143,50,0.309,0.691,0.0
144,20,0.0,1.0,0.0
145,98,0.0,0.839,0.161
146,98,0.0,1.0,0.0
147,49,0.0,1.0,0.0
148,46,0.28,0.72,0.0
149,37,0.0,1.0,0.0
150,48,0.0,1.0,0.0
151,62,0.0,1.0,0.0
152,25,0.0,1.0,0.0
153,49,0.0,0.805,0.195
154,65,0.0,1.0,0.0
155,24,0.493,0.29,0.217
156,38,0.0,1.0,0.0
157,77,0.0,1.0,0.0
158,68,0.0,1.0,0.0
159,39,0.0,0.499,0.501
