,0
0,39842
1,44126
2,32902
3,34673
4,37438
5,29273
6,39435
7,14110
8,29096
9,26173
10,35478
11,29019
12,25343
13,27605
14,14459
15,13397
16,13165
17,11907
18,17418
19,15465
20,29701
21,47264
22,35987
23,30905
24,53759
25,9236
26,41600
27,27230
28,35732
29,28546
30,31331
31,38395
32,27658
33,32460
34,30005
35,25200
36,38074
37,25962
38,11077
39,14784
40,27465
41,25734
42,35296
43,29377
44,9470
45,22715
46,45217
47,36902
48,14589
49,12416
50,41761
51,34712
52,5799
53,13307
54,11878
55,34027
56,14225
57,33073
58,8579
59,12380
60,8743
61,39378
62,33564
63,8244
64,33597
65,17896
66,19891
67,45496
68,19025
69,29525
70,20223
71,37132
72,24258
73,18908
74,23512
75,35679
76,41854
77,28790
78,7234
79,20469
80,26020
81,29588
82,18776
83,28028
84,52427
85,11004
86,32158
87,31147
88,29799
89,28982
90,26121
91,31852
92,20527
93,27546
94,23387
95,22419
96,33105
97,13520
98,20980
99,28263
100,29523
101,29814
102,38936
103,28483
104,29193
105,30431
106,27886
107,31012
108,40832
109,32063
110,25744
111,34525
112,29171
113,26048
114,25637
115,32540
116,8192
117,40065
118,45505
119,26838
120,25062
121,29460
122,28983
123,32248
124,31816
125,26327
126,30394
127,28600
128,25845
129,32904
130,26546
131,30963
132,30154
133,31942
134,32410
135,30051
136,33567
137,27152
138,28780
139,22079
140,33532
141,29658
142,31267
143,42879
144,27681
145,35432
146,50820
147,30483
148,27136
149,35908
150,34182
151,37210
152,6635
153,39111
154,40595
155,32653
156,36003
157,42198
158,15463
159,47527
160,13505
161,27987
162,29380
163,30844
164,34214
165,35027
166,24606
167,30524
168,32432
169,33535
170,31309
171,35662
172,26800
173,25762
174,40028
175,37162
176,33599
177,31961
178,10981
179,6210
180,29999
181,21026
182,28339
183,23826
184,27096
185,9817
186,27470
187,24567
188,36092
189,31307
190,34770
191,28110
192,30116
193,28377
194,32587
195,31379
196,25150
197,16420
198,11880
199,17163
200,35396
201,44181
202,29738
203,13809
204,25268
205,15889
206,31060
207,37428
208,46614
209,29089
210,25322
211,18376
212,34583
213,15518
214,34949
215,33790
216,17075
217,25625
218,23446
219,32208
220,35003
221,39939
222,30664
223,19138
224,42730
225,29647
226,35525
227,48943
228,26087
229,38437
230,22687
231,12411
232,33151
233,20614
234,27883
235,30443
236,29149
237,35490
238,37368
239,31304
240,23960
241,23617
242,36931
243,37101
244,28616
245,38597
246,21608
247,37226
248,32640
249,29996
250,16128
251,29727
252,5713
253,34372
254,22712
255,33910
256,19936
257,18391
258,21464
259,35902
260,31857
261,8603
262,21461
263,26686
264,36991
265,27734
266,27734
267,28078
268,27288
269,34144
270,24470
271,12655
272,32560
273,5397
274,53487
275,14925
276,35660
277,36734
278,29206
279,114798
280,23124
281,15953
282,26667
283,20631
284,24590
285,21873
286,20867
287,26112
288,22424
289,25150
290,26849
291,18952
292,16790
293,22761
294,20595
295,23587
296,23981
297,39342
298,11437
299,20539
300,35060
301,16403
302,18335
303,37401
304,23846
305,16302
306,21160
307,22179
308,12063
309,20763
310,21825
311,18547
312,12354
313,15260
314,18808
315,14657
316,14314
317,17566
318,10407
319,18782
320,50329
321,14546
322,12482
323,14689
324,38756
325,9663
326,35704
327,28467
328,10980
329,13813
330,47632
331,31171
332,27688
333,31099
334,41309
335,36445
336,44887
337,53182
338,39948
339,24819
340,10658
341,15348
342,26174
343,31954
344,8991
345,49722
346,24250
347,22235
348,22242
349,44091
350,23344
351,36278
352,7851
353,27899
354,29711
355,7625
356,10276
357,10649
358,7188
359,22058
360,10645
361,11336
362,15496
363,22244
364,40877
365,13229
366,16059
367,33553
368,14892
369,10686
370,15168
371,9888
372,10912
373,26407
374,18561
375,32209
376,13775
377,17517
378,12826
379,14326
380,13491
381,18316
382,14872
383,20817
384,15543
385,29619
386,16607
387,25019
388,17787
389,26199
390,20070
391,12259
392,25518
393,19971
394,14721
395,23930
396,19972
397,22985
398,10757
399,16508
400,15357
401,12904
402,11555
403,17797
404,31743
405,16483
406,9201
407,33884
408,25722
409,31266
410,40192
411,18868
412,39545
413,25981
414,30074
415,37064
416,28578
417,29468
418,20996
419,21127
420,7692
421,29810
422,8313
423,9440
424,4915
425,9767
426,9198
427,8243
428,8256
429,6199
430,7349
431,11001
432,10581
433,6838
434,11093
435,7561
436,11073
437,7592
438,5610
439,5968
440,31647
441,22162
442,22907
443,14777
444,21199
445,24600
446,23992
447,30596
448,27171
449,21191
450,22323
451,18675
452,24272
453,28687
454,28263
455,28953
456,41748
457,19028
458,13831
459,29434
460,9446
461,11729
462,14022
463,16249
464,9534
465,6335
466,11221
467,8385
468,8954
469,12165
470,9065
471,12119
472,9084
473,30718
474,14330
475,9441
476,21722
477,25845
478,26789
479,25679
480,37518
481,31693
482,36135
483,36703
484,20797
485,8909
486,30511
487,22025
488,93517
489,15848
490,16979
491,12356
492,41104
493,24146
494,12718
495,17889
496,12193
497,12682
498,12377
499,5329
500,12592
501,16816
502,18509
503,12399
504,7638
505,11306
506,14333
507,23480
508,14412
509,20217
510,25429
511,14001
512,17167
513,23189
514,15116
515,35012
516,24052
517,16092
518,16614
519,11938
520,24653
521,43857
522,24909
523,26225
524,41340
525,30957
526,25926
527,55054
528,25942
529,25586
530,26905
531,27141
532,30458
533,34111
534,25013
535,32589
536,27170
537,35318
538,33865
539,29237
540,33933
541,29875
542,22359
543,23673
544,37380
545,22773
546,22576
547,20841
548,30103
549,36591
550,26793
551,36080
552,15639
553,13723
554,14343
555,16537
556,16323
557,14518
558,16468
559,13844
560,30626
561,27176
562,46208
563,32081
564,30393
565,30530
566,35281
567,37653
568,32373
569,9140
570,27581
571,30635
572,34753
573,30727
574,46795
575,34904
576,31959
577,30443
578,30822
579,25487
580,19675
581,24887
582,29258
583,28872
584,15456
585,29972
586,16125
587,11841
588,26118
589,22636
590,30119
591,18474
592,23581
593,42410
594,27904
595,11201
596,27251
597,8523
598,18142
599,14924
600,36466
601,36702
602,39010
603,31598
604,42242
605,33161
606,33998
607,37741
608,33238
609,31766
610,35691
611,29448
612,34138
613,36691
614,42669
615,35222
616,37287
617,31042
618,34907
619,34209
620,29845
621,25486
622,23015
623,23665
624,46818
625,30444
626,19619
627,39062
628,25906
629,21697
630,29043
631,32652
632,19362
633,48848
634,21919
635,20248
636,17183
637,24773
638,27274
639,41434
640,37853
641,26056
642,20950
643,31183
644,30069
645,39309
646,35261
647,37806
648,37553
649,20069
650,34173
651,20739
652,31209
653,28368
654,13454
655,36462
656,14125
657,24897
658,23645
659,13593
660,25782
661,12184
662,29831
663,22714
664,25590
665,32364
666,34524
667,31452
668,34111
669,37485
670,29343
671,11069
672,12569
673,28061
674,35942
675,35261
676,31568
677,36452
678,14011
679,10769
680,51834
681,12478
682,28151
683,35783
684,37193
685,35430
686,29938
687,47608
688,36496
689,41269
690,11145
691,12207
692,32904
693,46739
694,36116
695,46814
696,41749
697,24899
698,20152
699,8888
700,49950
701,32848
702,47846
703,40073
704,44442
705,13745
706,60292
707,48111
708,56786
709,27173
710,20362
711,33771
712,34569
713,19659
714,31069
715,38940
716,61286
717,57644
718,31539
719,10883
720,27166
721,40537
722,28719
723,33175
724,49436
725,53638
726,42106
727,28181
728,35934
729,40379
730,34223
731,24547
732,36153
733,40797
734,36517
735,38796
736,35089
737,49470
738,35786
739,26331
740,45687
741,42293
742,29200
743,42032
744,31228
745,16310
746,30989
747,54751
748,40181
749,28871
750,34023
751,31059
752,42729
753,26047
754,43245
755,19411
756,15494
757,23297
758,11175
759,13089
760,13284
761,12665
762,14028
763,9364
764,9969
765,16740
766,19270
767,4009
768,7692
769,8614
770,7210
771,12815
772,13221
773,11385
774,35328
775,15316
776,16735
777,12787
778,14425
779,9201
780,16487
781,18558
782,28401
783,40816
784,15609
785,26688
786,20133
787,20101
788,19862
789,24166
790,15255
791,15417
792,15277
793,19908
794,21666
795,19035
796,23650
797,15883
798,10726
799,41243
800,31307
801,16187
802,24303
803,38257
804,31838
805,32176
806,37439
807,24630
808,29176
809,30760
810,31022
811,28023
812,37292
813,38947
814,29544
815,33860
816,36934
817,38728
818,33928
819,36690
820,15543
821,34953
822,29152
823,34324
824,29404
825,37681
826,8496
827,32454
828,30847
829,35598
830,29269
831,7909
832,30601
833,27324
834,34460
835,28522
836,26233
837,32686
838,5456
839,23706
840,24111
841,11942
842,32060
843,6917
844,14123
845,17842
846,17638
847,9150
848,16183
849,17276
850,9812
851,9634
852,8086
853,46713
854,23668
855,19483
856,13729
857,25705
858,34220
859,25665
860,81556
861,16144
862,31092
863,41971
864,29452
865,41223
866,34453
867,34279
868,30251
869,34525
870,27933
871,31074
872,25569
873,11596
874,27421
875,27134
876,32021
877,27555
878,28544
879,26272
880,27507
881,21161
882,33097
883,24773
884,11435
885,37165
886,37421
887,26987
888,22039
889,27033
890,38394
891,25895
892,33313
893,18757
894,22336
895,11903
896,35568
897,30763
898,22092
899,5444
900,12791
901,11571
902,18455
903,8504
904,16127
905,12238
906,12124
907,12635
908,16757
909,14104
910,21661
911,8169
912,19520
913,8162
914,22943
915,11590
916,10615
917,15137
918,12881
919,16739
920,12323
921,34051
922,12274
923,27068
924,34197
925,33708
926,30903
927,38076
928,37136
929,24345
930,10323
931,9612
932,28259
933,27005
934,26408
935,36580
936,18101
937,38642
938,31888
939,6537
940,30896
941,38161
942,34036
943,20063
944,34032
945,8820
946,9532
947,28039
948,19933
949,26430
950,23490
951,26126
952,34089
953,25066
954,25682
955,20861
956,29696
957,8058
958,5466
959,7109
960,16857
961,20399
962,18317
963,26317
964,23687
965,22418
966,22765
967,22414
968,31081
969,23292
970,23776
971,16837
972,23631
973,6636
974,19788
975,43509
976,6938
977,28767
978,7408
979,24532
980,19507
981,33360
982,7567
983,23978
984,8817
985,28324
986,34805
987,42342
988,31305
989,31005
990,33089
991,43381
992,35913
993,30834
994,31532
995,6210
996,8238
997,10658
998,7067
999,9794
1000,20144
1001,10031
1002,10710
1003,11132
1004,12772
1005,10020
1006,29773
1007,6624
1008,11144
1009,15711
1010,8366
1011,10304
1012,11845
1013,14715
1014,11048
1015,8853
1016,4427
1017,2695
1018,12960
1019,5800
1020,31064
1021,22657
1022,26034
1023,28912
1024,9497
1025,31184
1026,27971
1027,9189
1028,19330
1029,15488
1030,11647
1031,34349
1032,11173
1033,7619
1034,10979
1035,24938
1036,43353
1037,9669
1038,10410
1039,14162
1040,32863
1041,23322
1042,30505
1043,22249
1044,14479
1045,23581
1046,35833
1047,21247
1048,24173
1049,34248
1050,20769
1051,21480
1052,22945
1053,51656
1054,24681
1055,21225
1056,42335
1057,42213
1058,23454
1059,33061
1060,9284
1061,13031
1062,17658
1063,14877
1064,36330
1065,10730
1066,7755
1067,6741
1068,11734
1069,12773
1070,32329
1071,9253
1072,14503
1073,9430
1074,15308
1075,13943
1076,10072
1077,6887
1078,13378
1079,13618
1080,12579
1081,14660
1082,17713
1083,21529
1084,40547
1085,16594
1086,9978
1087,17090
1088,41335
1089,20572
1090,10874
1091,40525
1092,33950
1093,15314
1094,20312
1095,19441
1096,16173
1097,16201
1098,7882
1099,20346
1100,21152
1101,10931
1102,16684
1103,14926
1104,17377
1105,8915
1106,13374
1107,18323
1108,7703
1109,10116
1110,15474
1111,7044
1112,11567
1113,14938
1114,15201
1115,22476
1116,14284
1117,27288
1118,25248
1119,16822
1120,21853
1121,28816
1122,22616
1123,23376
1124,16935
1125,28840
1126,24551
1127,18519
1128,24213
1129,11511
1130,30488
1131,22889
1132,29570
1133,21866
1134,20099
1135,7889
1136,11324
1137,23432
1138,14347
1139,11392
1140,16855
1141,11796
1142,20710
1143,15807
1144,24343
1145,10124
1146,15668
1147,10146
1148,19408
1149,14823
1150,8650
1151,19978
1152,10992
1153,10440
1154,46870
1155,12913
1156,11176
1157,14839
1158,12694
1159,19046
1160,9069
1161,11885
1162,38517
1163,12948
1164,31976
1165,7674
1166,30557
1167,8619
1168,9520
1169,11045
1170,10484
1171,10145
1172,7667
1173,9147
1174,8309
1175,8284
1176,9109
1177,12851
1178,7974
1179,7915
1180,32503
1181,26728
1182,34903
1183,11330
1184,10842
1185,10083
1186,11986
1187,14689
1188,15030
1189,12473
1190,10727
1191,7369
1192,7739
1193,10722
1194,10681
1195,31725
1196,10533
1197,7390
1198,10083
1199,10316
1200,41293
1201,23305
1202,9543
1203,27298
1204,32038
1205,29569
1206,47603
1207,38713
1208,33090
1209,8244
1210,22976
1211,42062
1212,44891
1213,38710
1214,35301
1215,40569
1216,29712
1217,28580
1218,40061
1219,14599
1220,12528
1221,25841
1222,14477
1223,10457
1224,12397
1225,13042
1226,12024
1227,13899
1228,16550
1229,12972
1230,12820
1231,13131
1232,12288
1233,18969
1234,16098
1235,15798
1236,11798
1237,11798
1238,12231
1239,12748
1240,17924
1241,17899
1242,16116
1243,14825
1244,12767
1245,17698
1246,11952
1247,18302
1248,15002
1249,14766
1250,15443
1251,29923
1252,12178
1253,37634
1254,16796
1255,18871
1256,15763
1257,16087
1258,8505
1259,22682
1260,26770
1261,32628
1262,34428
1263,37483
1264,25962
1265,29720
1266,21464
1267,27301
1268,9320
1269,47058
1270,9361
1271,18850
1272,15254
1273,38871
1274,31702
1275,44731
1276,27244
1277,35218
1278,44447
1279,28146
1280,23370
1281,10298
1282,16555
1283,19004
1284,14672
1285,13685
1286,14825
1287,33610
1288,13143
1289,25571
1290,12995
1291,33234
1292,30934
1293,31988
1294,12084
1295,17786
1296,13762
1297,19687
1298,20034
1299,14306
1300,19725
1301,18537
1302,17276
1303,11660
1304,21562
1305,20540
1306,21441
1307,32981
1308,38057
1309,18116
1310,11184
1311,10006
1312,30535
1313,16894
1314,13644
1315,26803
1316,50251
1317,34259
1318,30800
1319,17580
1320,22176
1321,32822
1322,54356
1323,39419
1324,29385
1325,22850
1326,11693
1327,35590
1328,22105
1329,15691
1330,10675
1331,28458
1332,48508
1333,63009
1334,25737
1335,51168
1336,52191
1337,54752
1338,23806
1339,11074
1340,36720
1341,20645
1342,24554
1343,26897
1344,12966
1345,9090
1346,25708
1347,7279
1348,29470
1349,8807
1350,37233
1351,28846
1352,14719
1353,28682
1354,29442
1355,38668
1356,34394
1357,39028
1358,34776
1359,36500
1360,9039
1361,31462
1362,17884
1363,32057
1364,3206
1365,16264
1366,37834
1367,6307
1368,9061
1369,10101
1370,16475
1371,10526
1372,14420
1373,16785
1374,36150
1375,6615
1376,9638
1377,7986
1378,14663
1379,8738
1380,9028
1381,12133
1382,11228
1383,5083
1384,17198
1385,9263
1386,35638
1387,10352
1388,35871
1389,7950
1390,8700
1391,9903
1392,5132
1393,10190
1394,6327
1395,6981
1396,3413
1397,9878
1398,12377
1399,6830
1400,10127
1401,11383
1402,18661
1403,11778
1404,19478
1405,7201
1406,10907
1407,13549
1408,27672
1409,9952
1410,13148
1411,8688
1412,23903
1413,8895
1414,33379
1415,22948
1416,24192
1417,12612
1418,9301
1419,22991
1420,14955
1421,7712
1422,8249
1423,9450
1424,9406
1425,8988
1426,10662
1427,10739
1428,9929
1429,10228
1430,9382
1431,9568
1432,7803
1433,11067
1434,10145
1435,10249
1436,9338
