,channelName,VpV
0,Linus Tech Tips,1159520.27004623
1,Mark Rober,30645748.487603307
2,SmarterEveryDay,3093197.8594594593
3,What If,1233235.7967128027
4,minutephysics,1968825.3703703703
5,Insider Tech,360443.4456471672
6,Andrew Huberman,1020280.0625
7,NetworkChuck,502843.7711171662
8,ShortCircuit,694284.7638691323
9,Steve Mould,1825269.7376237623
10,SuperSaf,385324.02354048967
11,Kyle Hill,825354.1078066914
12,Spark,532631.3847102342
13,Everyday Astronaut,494061.01754385966
14,Mr SunY,1024449.5440180587
15,Coding Tech,39262.51321928461
16,eFIXX,558478.392739274
17,YouFact Tech,646111.0842293907
18,TheUnlockr,121049.07010014306
19,ALL ABOUT ELECTRONICS,169756.23241590214
20,The Wild Times Podcast,309487.7889908257
21,Bryan Johnson,257693.62080536914
22,InvestAnswers,64671.43115124154
23,Ben Rowlands,617948.643678161
24,The PC Security Channel,67270.7783171521
25,Northrop Grumman,30674.13901869159
26,Daniel Owen,49379.172626387175
27,Henny Tha Bizness,16690.751063829786
28,PrevMed Health,9889.658586900465
29,6 Months Later,129841.84262295082
30,Brodie Robertson,11273.576258992805
31,MRTV - MIXED REALITY TV,14976.131661442007
32,We Do Tech,46488.709677419356
33,Eric Kimberling - Digital Transformation,3988.758158995816
34,Vejon Health,31587.120805369126
35,Stefan Burns,16565.386363636364
36,TheSpaceBucket,8669.801749271137
37,ClimateViewer,4328.432489451477
38,BBISHOPPCM's World,8721.60482529118
39,Tech Titan,17737.67
40,iCaveDave,4080.1754385964914
41,DecisionForest,3298.2586605080833
42,Engineering Think it Simple,29282.658333333333
43,KurttheCyberGuy,5287.874617737003
44,Cymye Midori,13093.587301587302
45,Oxford Nanopore Technologies,2930.5831234256925
46,Darren Allatt,6119.3125
47,Future Lists Tech Gadgets,20236.27868852459
48,Revopoint 3D,3861.8473282442746
49,Lifespan News,1968.0981308411215
50,The ARH,728.6964285714286
51,P shredder machine,2957.4021648626144
52,Reviewer Winspections,203.67343485617596
53,Wired Hardware,4163.665289256199
54,Oliver Knill,948.2840690978887
55,Small City Homesteaders,1003.2790697674419
56,Buyer Adviser,1126.4525862068965
57,Pacific Sky Power,1881.5064935064936
58,Halifax Naturopathic Doctor,202.3095823095823
59,Xact Cybersecurity,638.5335820895523
60,Gboni FPV,2316.892156862745
61,Joe Freeman,543.1342281879195
62,Eclec-Tronics,608.8
63,Bruce Johnson,3301.6
64,Hyping Tech,369.97292418772565
65,Mallee Sustainable Farming,685.6433566433567
66,Fairbanks Seeds,551.7127659574468
67,JmoneyCrypto,131.43373493975903
68,Sci-Port Discovery Center,1193.8086956521738
69,DiamondBoy Elevators / OH Elevators,574.1618181818181
70,Tuning Element,1734.0983606557377
71,PC.Solutions.Net,155.625
72,Jeff Bickerstaff,95.9764453961456
73,Paul Romsky,1215.4117647058824
74,David Saunders,233.0653594771242
75,Jose Rodriguez,440.6629213483146
76,Ankit Gandhi,133.83076923076922
77,T Minus Today,530.7415730337078
78,Youssef Ouhdana,203.72222222222223
79,Tech Dad Dave,583.92
